id;nome;nivel;tipo;entregavel;disciplina;fase;revisao;zona;papel;duracao_dias;inicio_praticado;fim_praticado;pct_concluido;estado
T001;Emissao | GERAL | GERAL;AGRUPADOR;EMISSAO;;GERAL;GERAL;;;MULTI-DISCIPLINAS;181;0;180;69;EM_ANDAMENTO
T002;Emissao | ARI | GERAL | R00;ATIVIDADE;EMISSAO;E001;ARI;GERAL;R00;;PROJ-INT;15;0;14;100;CONCLUIDA
T003;Analise | GERAL | GERAL;ATIVIDADE;ANALISE;;GERAL;GERAL;;;ANL-PRODUTO;13;41;53;100;CONCLUIDA
T004;Consultoria | GERAL | GERAL;ATIVIDADE;CONSULTORIA;;GERAL;GERAL;;;CONS-01;25;75;99;100;CONCLUIDA
T005;Analise | GERAL | GERAL (2);ATIVIDADE;ANALISE;;GERAL;GERAL;;;ANL-PRODUTO;20;102;121;100;CONCLUIDA
T006;Emissao | ARI | GERAL;AGRUPADOR;EMISSAO;;ARI;GERAL;;;PROJ-INT;112;75;186;51;EM_ANDAMENTO
T007;Emissao | ARI | GERAL (2);ATIVIDADE;EMISSAO;E001;ARI;GERAL;;;PROJ-INT;16;75;90;100;CONCLUIDA
T008;Analise | ARI | GERAL;ATIVIDADE;ANALISE;E001;ARI;GERAL;;;ANL-PRODUTO;5;91;95;100;CONCLUIDA
T009;Emissao | ARI | GERAL (3);ATIVIDADE;EMISSAO;E001;ARI;GERAL;;;PROJ-INT;15;96;110;100;CONCLUIDA
T010;Emissao | ARI | GERAL | R00 (2);ATIVIDADE;EMISSAO;E001;ARI;GERAL;R00;;PROJ-INT;6;91;96;100;CONCLUIDA
T011;Analise | ARI | GERAL (2);ATIVIDADE;ANALISE;E001;ARI;GERAL;;;ANL-PRODUTO;3;97;99;100;CONCLUIDA
T012;Emissao | ARI | GERAL | R01;ATIVIDADE;EMISSAO;E001;ARI;GERAL;R01;;PROJ-INT;4;102;105;100;CONCLUIDA
T013;Emissao | ARI | GERAL (4);ATIVIDADE;EMISSAO;E001;ARI;GERAL;;;PROJ-INT;5;113;117;100;CONCLUIDA
T014;Analise | ARI | GERAL (3);ATIVIDADE;ANALISE;E001;ARI;GERAL;;;ANL-PRODUTO;4;118;121;100;CONCLUIDA
T015;Emissao | ARI | GERAL (5);ATIVIDADE;EMISSAO;E001;ARI;GERAL;;;PROJ-INT;8;122;129;100;CONCLUIDA
T016;Emissao | ARI | GERAL (6);ATIVIDADE;EMISSAO;E001;ARI;GERAL;;;PROJ-INT;8;122;129;100;CONCLUIDA
T017;Emissao | ARI | GERAL (7);ATIVIDADE;EMISSAO;E001;ARI;GERAL;;;PROJ-INT;15;122;136;100;CONCLUIDA
T018;Analise | ARI | GERAL (4);ATIVIDADE;ANALISE;E001;ARI;GERAL;;;ANL-PRODUTO;4;137;140;100;CONCLUIDA
T019;Emissao | ARI | GERAL | R01 (2);ATIVIDADE;EMISSAO;E001;ARI;GERAL;R01;;PROJ-INT;10;141;150;0;NAO_INICIADA
T020;Emissao | ARI | EP | R00;ATIVIDADE;EMISSAO;E001;ARI;EP;R00;;PROJ-INT;5;130;134;100;CONCLUIDA
T021;Analise | ARI | EP;ATIVIDADE;ANALISE;E001;ARI;EP;;;ANL-PRODUTO;2;135;136;100;CONCLUIDA
T022;Emissao | ARI | GERAL | R01 (3);ATIVIDADE;EMISSAO;E001;ARI;GERAL;R01;;PROJ-INT;7;141;147;100;CONCLUIDA
T023;Analise | ARI | GERAL (5);ATIVIDADE;ANALISE;E001;ARI;GERAL;;;ANL-PRODUTO;1;148;148;100;CONCLUIDA
T024;Emissao | ARI | GERAL | R02;ATIVIDADE;EMISSAO;E001;ARI;GERAL;R02;;PROJ-INT;8;149;156;0;NAO_INICIADA
T025;Gate | ARI | GERAL;ATIVIDADE;GATE;;ARI;GERAL;;;ANL-PRODUTO;3;157;159;0;NAO_INICIADA
T026;Analise | ARI | EP (2);ATIVIDADE;ANALISE;E001;ARI;EP;;;ANL-PRODUTO;22;135;156;0;NAO_INICIADA
