predecessora;sucessora;tipo_vinculo;lag_dias
T002;T008;TI;0
T003;T010;TI;0
T004;T005;TI;0
T007;T045;TI;0
T007;T039;TI;5
T007;T044;TI;0
T007;T008;TI;0
T007;T010;TI;0
T008;T009;TI;0
T009;T013;TI;0
T010;T011;TI;0
T011;T013;TI;0
T011;T012;TI;0
T012;T045;TI;0
T013;T042;TI;0
T013;T014;TI;0
T013;T045;TT;0
T013;T015;TI;0
T013;T017;TI;0
T013;T016;TI;0
T014;T015;TI;0
T014;T017;TI;0
T014;T016;TI;0
T015;T042;TI;0
T015;T018;TI;0
T015;T020;TI;0
T016;T020;TI;0
T016;T018;TI;0
T017;T018;TI;0
T018;T019;TI;0
T018;T022;TI;0
T020;T021;TI;0
T020;T026;TI;0
T022;T023;TI;0
T023;T024;TI;0
T024;T025;TI;0
T026;T027;TI;0
T026;T028;TI;0
T026;T029;TI;0
T027;T030;TI;0
T028;T030;TI;0
T029;T030;TI;0
T030;T033;TI;0
T030;T031;TI;0
T030;T032;TI;0
T030;T034;TI;5
T034;T035;TI;0
T035;T036;TI;0
T036;T227;TI;0
T036;T114;TI;0
T039;T045;TI;0
T039;T044;TI;0
T039;T040;TI;0
T040;T041;TI;0
T042;T043;TI;0
T044;T045;TI;0
T045;T046;TI;0
T047;T048;TI;0
T048;T049;TI;0
T048;T123;TI;0
T048;T125;TI;0
T066;T135;TI;0
T067;T135;TI;0
T072;T135;TI;0
T054;T175;TI;0
T054;T177;TI;0
T054;T178;TI;0
T054;T179;TI;0
T054;T181;TI;0
T054;T176;TI;0
T054;T182;TI;0
T054;T183;TI;0
T054;T180;TI;0
T054;T056;TI;0
T055;T175;TI;0
T055;T177;TI;0
T055;T178;TI;0
T055;T179;TI;0
T055;T181;TI;0
T055;T176;TI;0
T055;T182;TI;0
T055;T183;TI;0
T055;T180;TI;0
T055;T057;TI;0
T056;T187;TI;0
T056;T190;TI;0
T056;T191;TI;0
T056;T192;TI;0
T056;T193;TI;0
T056;T188;TI;0
T056;T194;TI;0
T056;T189;TI;0
T056;T195;TI;0
T056;T058;TI;0
T056;T137;TI;0
T057;T187;TI;0
T057;T190;TI;0
T057;T191;TI;0
T057;T192;TI;0
T057;T193;TI;0
T057;T188;TI;0
T057;T194;TI;0
T057;T189;TI;0
T057;T195;TI;0
T057;T059;TI;0
T057;T137;TI;0
T058;T138;TI;0
T058;T060;TI;0
T059;T138;TI;0
T060;T139;TI;0
T066;T093;TI;0
T067;T093;TI;0
T068;T093;TI;0
T069;T093;TI;0
T070;T093;TI;0
T072;T093;TI;0
T073;T093;TI;0
T074;T093;TI;0
T075;T093;TI;0
T076;T093;TI;0
T066;T094;TI;0
T067;T094;TI;0
T068;T094;TI;0
T069;T094;TI;0
T070;T094;TI;0
T072;T094;TI;0
T073;T094;TI;0
T074;T094;TI;0
T075;T094;TI;0
T076;T094;TI;0
T066;T139;TI;0
T067;T139;TI;0
T068;T139;TI;0
T069;T139;TI;0
T070;T139;TI;0
T072;T139;TI;0
T073;T139;TI;0
T074;T139;TI;0
T075;T139;TI;0
T076;T139;TI;0
T066;T104;TI;0
T067;T104;TI;0
T068;T104;TI;0
T069;T104;TI;0
T070;T104;TI;0
T072;T104;TI;0
T073;T104;TI;0
T074;T104;TI;0
T075;T104;TI;0
T076;T104;TI;0
T066;T101;TI;0
T067;T101;TI;0
T068;T101;TI;0
T069;T101;TI;0
T070;T101;TI;0
T072;T101;TI;0
T073;T101;TI;0
T074;T101;TI;0
T075;T101;TI;0
T076;T101;TI;0
T066;T097;TI;0
T067;T097;TI;0
T068;T097;TI;0
T069;T097;TI;0
T070;T097;TI;0
T072;T097;TI;0
T073;T097;TI;0
T074;T097;TI;0
T075;T097;TI;0
T076;T097;TI;0
T066;T098;TI;0
T067;T098;TI;0
T068;T098;TI;0
T069;T098;TI;0
T070;T098;TI;0
T072;T098;TI;0
T073;T098;TI;0
T074;T098;TI;0
T075;T098;TI;0
T076;T098;TI;0
T066;T099;TI;0
T067;T099;TI;0
T068;T099;TI;0
T069;T099;TI;0
T070;T099;TI;0
T072;T099;TI;0
T073;T099;TI;0
T074;T099;TI;0
T075;T099;TI;0
T076;T099;TI;0
T066;T096;TI;0
T067;T096;TI;0
T068;T096;TI;0
T069;T096;TI;0
T070;T096;TI;0
T072;T096;TI;0
T073;T096;TI;0
T074;T096;TI;0
T075;T096;TI;0
T076;T096;TI;0
T066;T078;TI;0
T066;T079;TI;0
T066;T081;TI;0
T066;T080;TI;0
T067;T078;TI;0
T067;T079;TI;0
T067;T081;TI;0
T067;T080;TI;0
T068;T081;TI;0
T068;T095;TI;0
T069;T081;TI;0
T070;T081;TI;0
T072;T081;TI;0
T072;T109;TT;0
T073;T081;TI;6
T075;T081;TI;0
T078;T101;TI;0
T078;T079;TI;0
T079;T080;TI;0
T080;T081;TI;0
T083;T101;TI;0
T084;T101;TI;0
T085;T101;TI;0
T078;T087;TI;0
T087;T175;TI;0
T087;T177;TI;0
T087;T178;TI;0
T087;T179;TI;0
T087;T181;TI;0
T087;T176;TI;0
T087;T182;TI;0
T087;T183;TI;0
T087;T180;TI;0
T087;T089;TI;0
T078;T088;TI;0
T088;T175;TI;0
T088;T177;TI;0
T088;T178;TI;0
T088;T179;TI;0
T088;T181;TI;0
T088;T176;TI;0
T088;T182;TI;0
T088;T183;TI;0
T088;T180;TI;0
T088;T090;TI;0
T079;T089;TI;0
T089;T187;TI;0
T089;T190;TI;0
T089;T191;TI;0
T089;T192;TI;0
T089;T193;TI;0
T089;T188;TI;0
T089;T194;TI;0
T089;T189;TI;0
T089;T195;TI;0
T089;T091;TI;0
T079;T090;TI;0
T090;T187;TI;0
T090;T190;TI;0
T090;T191;TI;0
T090;T192;TI;0
T090;T193;TI;0
T090;T188;TI;0
T090;T194;TI;0
T090;T189;TI;0
T090;T195;TI;0
T090;T092;TI;0
T080;T091;TI;0
T091;T201;TI;0
T091;T202;TI;0
T091;T203;TI;0
T091;T204;TI;0
T091;T205;TI;0
T091;T200;TI;0
T091;T206;TI;0
T091;T207;TI;0
T091;T093;TI;0
T091;T199;TI;0
T080;T092;TI;0
T092;T201;TI;0
T092;T202;TI;0
T092;T203;TI;0
T092;T204;TI;0
T092;T205;TI;0
T092;T200;TI;0
T092;T206;TI;0
T092;T207;TI;0
T092;T094;TI;0
T092;T199;TI;0
T081;T093;TI;0
T093;T211;TI;0
T093;T214;TI;0
T093;T215;TI;0
T093;T216;TI;0
T093;T217;TI;0
T093;T218;TI;0
T093;T213;TI;0
T093;T219;TI;0
T093;T220;TI;0
T093;T221;TI;0
T081;T094;TI;0
T094;T211;TI;0
T094;T214;TI;0
T094;T215;TI;0
T094;T216;TI;0
T094;T217;TI;0
T094;T218;TI;0
T094;T213;TI;0
T094;T219;TI;0
T094;T220;TI;0
T094;T221;TI;0
T095;T100;TI;0
T096;T251;TI;0
T100;T187;TI;0
T100;T212;TI;0
T238;T101;TI;0
T239;T101;TI;0
T240;T101;TI;0
T242;T101;TI;0
T101;T102;TI;0
T101;T103;TI;0
T106;T107;TI;0
T107;T108;TI;0
T109;T110;TI;0
T110;T111;TI;0
T114;T115;TI;0
T114;T131;TI;0
T114;T213;TI;0
T114;T214;TI;0
T114;T215;TI;0
T114;T216;TI;0
T114;T217;TI;0
T114;T218;TI;0
T114;T219;TI;0
T114;T220;TI;0
T114;T221;TI;0
T114;T212;TI;0
T114;T118;TI;0
T115;T120;II;0
T115;T116;TI;0
T115;T119;II;0
T115;T118;TI;0
T116;T117;TI;0
T116;T118;TI;0
T117;T118;TI;0
T118;T166;TI;0
T119;T121;TI;0
T120;T121;TI;0
T121;T128;TI;0
T121;T166;TI;0
T123;T124;TI;0
T123;T125;TI;0
T123;T214;TI;0
T123;T215;TI;0
T123;T216;TI;0
T123;T217;TI;0
T123;T218;TI;0
T123;T213;TI;0
T123;T219;TI;0
T123;T220;TI;0
T123;T130;TI;0
T123;T221;TI;0
T123;T212;TI;0
T123;T126;TI;0
T124;T127;TI;0
T125;T127;TI;0
T126;T167;TI;0
T127;T167;TI;0
T130;T214;TI;0
T130;T215;TI;0
T130;T218;TI;0
T130;T213;TI;0
T130;T219;TI;0
T130;T216;TI;0
T130;T212;TI;0
T131;T132;TI;0
T131;T214;TI;0
T131;T215;TI;0
T131;T216;TI;0
T131;T217;TI;0
T131;T218;TI;0
T131;T219;TI;0
T131;T220;TI;0
T131;T221;TI;0
T131;T212;TI;0
T132;T133;TI;0
T135;T161;TI;0
T078;T135;IT;10
T135;T136;TI;0
T136;T137;TI;0
T136;T147;TI;0
T137;T150;TI;0
T137;T151;TI;0
T137;T187;TI;0
T137;T190;TI;0
T137;T191;TI;0
T137;T192;TI;0
T137;T193;TI;0
T137;T188;TI;0
T137;T194;TI;0
T137;T189;TI;0
T137;T195;TI;0
T137;T138;TI;0
T080;T138;TI;0
T138;T152;TI;0
T138;T153;TI;0
T138;T201;TI;0
T138;T202;TI;0
T138;T203;TI;0
T138;T204;TI;0
T138;T205;TI;0
T138;T200;TI;0
T138;T206;TI;0
T138;T207;TI;0
T138;T255;TI;0
T138;T139;TI;0
T081;T139;TI;0
T139;T154;TI;0
T139;T155;TI;0
T139;T211;TI;0
T139;T214;TI;0
T139;T215;TI;0
T139;T216;TI;0
T139;T217;TI;0
T139;T218;TI;0
T139;T213;TI;0
T139;T219;TI;0
T139;T220;TI;0
T139;T166;TI;0
T139;T167;TI;0
T139;T221;TI;0
T139;T212;TI;0
T141;T238;TI;0
T141;T145;TI;0
T142;T239;TI;0
T142;T145;TI;0
T143;T240;TI;0
T143;T145;TI;0
T144;T242;TI;0
T144;T145;TI;0
T145;T238;TI;0
T145;T239;TI;0
T145;T240;TI;0
T145;T242;TI;0
T147;T175;TI;0
T147;T177;TI;0
T147;T178;TI;0
T147;T179;TI;0
T147;T180;TI;0
T147;T181;TI;0
T147;T176;TI;0
T147;T182;TI;0
T147;T183;TI;0
T135;T148;TI;0
T148;T150;TI;0
T148;T157;TI;0
T135;T149;TI;0
T149;T151;TI;0
T149;T157;TI;0
T150;T158;TI;0
T150;T152;TI;0
T151;T158;TI;0
T151;T153;TI;0
T152;T159;TI;0
T152;T154;TI;0
T153;T159;TI;0
T153;T155;TI;0
T154;T166;TI;0
T154;T167;TI;0
T154;T160;TI;0
T155;T166;TI;0
T155;T167;TI;0
T155;T160;TI;0
T157;T175;TI;0
T157;T177;TI;0
T157;T178;TI;0
T157;T179;TI;0
T157;T180;TI;0
T157;T181;TI;0
T157;T176;TI;0
T157;T182;TI;0
T157;T183;TI;0
T157;T184;TI;0
T157;T185;TI;0
T158;T187;TI;0
T158;T189;TI;0
T158;T190;TI;0
T158;T191;TI;0
T158;T192;TI;0
T158;T193;TI;0
T158;T188;TI;0
T158;T194;TI;0
T158;T195;TI;0
T158;T196;TI;0
T158;T197;TI;0
T159;T201;TI;0
T159;T202;TI;0
T159;T203;TI;0
T159;T204;TI;0
T159;T205;TI;0
T159;T200;TI;0
T159;T206;TI;0
T159;T207;TI;0
T159;T208;TI;0
T159;T209;TI;0
T159;T199;TI;0
T159;T212;TI;0
T160;T211;TI;0
T160;T214;TI;0
T160;T215;TI;0
T160;T216;TI;0
T160;T217;TI;0
T160;T218;TI;0
T160;T213;TI;0
T160;T219;TI;0
T160;T220;TI;0
T160;T222;TI;0
T160;T223;TI;0
T160;T166;TI;0
T160;T167;TI;0
T160;T221;TI;0
T160;T212;TI;0
T166;T168;TI;0
T166;T169;TI;0
T166;T171;TI;0
T166;T258;TI;0
T166;T251;TI;0
T167;T168;TI;0
T167;T169;TI;0
T167;T171;TI;0
T167;T258;TI;0
T167;T251;TI;0
T168;T170;TI;0
T171;T172;TI;0
T171;T251;TI;0
T182;T244;TI;0
T183;T244;TI;0
T175;T244;TI;0
T176;T244;TI;0
T177;T244;TI;0
T178;T244;TI;0
T179;T244;TI;0
T180;T244;TI;0
T181;T244;TI;0
T182;T249;TI;0
T183;T249;TI;0
T175;T249;TI;0
T176;T249;TI;0
T177;T249;TI;0
T178;T249;TI;0
T179;T249;TI;0
T180;T249;TI;0
T181;T249;TI;0
T182;T250;TI;0
T183;T250;TI;0
T175;T250;TI;0
T176;T250;TI;0
T177;T250;TI;0
T178;T250;TI;0
T179;T250;TI;0
T180;T250;TI;0
T181;T250;TI;0
T182;T252;TI;0
T183;T252;TI;0
T175;T252;TI;0
T176;T252;TI;0
T177;T252;TI;0
T178;T252;TI;0
T179;T252;TI;0
T180;T252;TI;0
T181;T252;TI;0
T182;T253;TI;0
T183;T253;TI;0
T175;T253;TI;0
T176;T253;TI;0
T177;T253;TI;0
T178;T253;TI;0
T179;T253;TI;0
T180;T253;TI;0
T181;T253;TI;0
T182;T255;TI;0
T183;T255;TI;0
T175;T255;TI;0
T176;T255;TI;0
T177;T255;TI;0
T178;T255;TI;0
T179;T255;TI;0
T180;T255;TI;0
T181;T255;TI;0
T182;T248;TI;0
T183;T248;TI;0
T175;T248;TI;0
T176;T248;TI;0
T177;T248;TI;0
T178;T248;TI;0
T179;T248;TI;0
T180;T248;TI;0
T181;T248;TI;0
T175;T187;TI;0
T175;T229;TI;0
T175;T184;TI;0
T175;T185;TI;0
T176;T188;TI;0
T176;T229;TI;0
T176;T184;TI;0
T176;T185;TI;0
T177;T189;TI;0
T177;T229;TI;0
T177;T184;TI;0
T177;T185;TI;0
T178;T190;TI;0
T178;T229;TI;0
T178;T184;TI;0
T178;T185;TI;0
T179;T191;TI;0
T179;T229;TI;0
T179;T184;TI;0
T179;T185;TI;0
T180;T192;TI;0
T180;T229;TI;0
T180;T184;TI;0
T180;T185;TI;0
T181;T193;TI;0
T181;T229;TI;0
T181;T184;TI;0
T181;T185;TI;0
T182;T194;TI;0
T182;T229;TI;0
T182;T184;TI;0
T182;T185;TI;0
T183;T195;TI;0
T183;T229;TI;0
T183;T184;TI;0
T183;T185;TI;0
T187;T244;TI;0
T188;T244;TI;0
T189;T244;TI;0
T190;T244;TI;0
T191;T244;TI;0
T192;T244;TI;0
T193;T244;TI;0
T194;T244;TI;0
T195;T244;TI;0
T187;T249;TI;0
T188;T249;TI;0
T189;T249;TI;0
T190;T249;TI;0
T191;T249;TI;0
T192;T249;TI;0
T193;T249;TI;0
T194;T249;TI;0
T195;T249;TI;0
T187;T250;TI;0
T188;T250;TI;0
T189;T250;TI;0
T190;T250;TI;0
T191;T250;TI;0
T192;T250;TI;0
T193;T250;TI;0
T194;T250;TI;0
T195;T250;TI;0
T187;T252;TI;0
T188;T252;TI;0
T189;T252;TI;0
T190;T252;TI;0
T191;T252;TI;0
T192;T252;TI;0
T193;T252;TI;0
T194;T252;TI;0
T195;T252;TI;0
