papel;categoria;n_atividades;capacidade_observada;capacidade_sugerida
ANL-PRODUTO;ANALISTA;50;7;7
PROJ-INT;PROJETISTA;31;4;4
PROJ-ARQ;PROJETISTA;28;7;7
ANL-ENGENHARIA;ANALISTA;26;4;4
PROJ-LUM;PROJETISTA;8;1;1
PROJ-HID;PROJETISTA;8;2;2
PROJ-EST;PROJETISTA;8;1;1
PROJ-ELE;PROJETISTA;7;3;3
PROJ-PCI;PROJETISTA;7;1;1
ANL-COORD;ANALISTA;7;2;2
PROJ-PSG;PROJETISTA;6;2;2
PROJ-CLI;PROJETISTA;6;2;2
MULTI-DISCIPLINAS;COLETIVO;6;1;1
PROJ-GAS;PROJETISTA;5;1;1
PROJ-AUT;PROJETISTA;5;1;1
PROJ-ACU;PROJETISTA;4;2;2
PROJ-VED;PROJETISTA;4;1;1
PROJ-IMP;PROJETISTA;4;1;1
PROJ-CXO;PROJETISTA;4;4;4
CONS-AMBIENTAL;CONSULTOR;3;1;1
PROJ-HAC;PROJETISTA;3;1;1
DEC-DIRETORIA;DECISOR;2;1;1
PROJ-FUN;PROJETISTA;2;1;1
PROJ-COM;PROJETISTA;2;1;1
CONS-NORMA;CONSULTOR;2;2;2
CONS-01;CONSULTOR;1;1;1
CONS-02;CONSULTOR;1;1;1
CONS-03;CONSULTOR;1;1;1
CONS-INSTALACOES;CONSULTOR;1;1;1
PROJ-SEG;PROJETISTA;1;1;1
ORG-MUNICIPAL;ORGAO_PUBLICO;1;1;1
ORG-BOMBEIROS;ORGAO_PUBLICO;1;1;1
ORG-PUBLICO;ORGAO_PUBLICO;1;1;1
CONS-04;CONSULTOR;1;1;1
