id;nome;nivel;tipo;entregavel;disciplina;fase;revisao;zona;papel;duracao_dias;inicio_praticado;fim_praticado;pct_concluido;estado
T054;Analise | ARQ | AP | ZONA-1;ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-PRODUTO;15;0;14;100;CONCLUIDA
T055;Analise | ARQ | AP | ZONA-1 (2);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-ENGENHARIA;15;0;14;100;CONCLUIDA
T078;Emissao | EST | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E019;EST;AP;R01;ZONA-1;PROJ-EST;5;1;5;100;CONCLUIDA
T083;Emissao | ACU | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E023;ACU;AP;R01;ZONA-1;PROJ-ACU;13;2;14;100;CONCLUIDA
T087;Analise | ARQ | AP | ZONA-1 (3);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-PRODUTO;32;20;51;100;CONCLUIDA
T088;Analise | ARQ | AP | ZONA-1 (4);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-ENGENHARIA;32;20;51;100;CONCLUIDA
T135;Emissao | ARQ | AP | ZONA-1 (2);ATIVIDADE;EMISSAO;E005;ARQ;AP;;ZONA-1;PROJ-ARQ;22;10;31;100;CONCLUIDA
T141;Emissao | ARQ | EP | ZONA-1;ATIVIDADE;EMISSAO;E033;ARQ;EP;;ZONA-1;PROJ-ARQ;52;20;71;0;NAO_INICIADA
T148;Analise | ARQ | AP | ZONA-1 (5);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-PRODUTO;10;32;41;100;CONCLUIDA
T149;Analise | ARQ | AP | ZONA-1 (6);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-ENGENHARIA;10;32;41;100;CONCLUIDA
T157;Emissao | ARQ | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E005;ARQ;AP;R01;ZONA-1;PROJ-ARQ;8;42;49;100;CONCLUIDA
T175;Emissao | ELE | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E040;ELE;AP;R01;ZONA-1;PROJ-ELE;10;52;61;0;NAO_INICIADA
T176;Emissao | AUT | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E041;AUT;AP;R01;ZONA-1;PROJ-AUT;10;52;61;0;NAO_INICIADA
T177;Emissao | HAC | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E042;HAC;AP;R01;ZONA-1;PROJ-HAC;10;52;61;0;NAO_INICIADA
T178;Emissao | GAS | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E043;GAS;AP;R01;ZONA-1;PROJ-GAS;10;52;61;0;NAO_INICIADA
T179;Emissao | HID | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E044;HID;AP;R01;ZONA-1;PROJ-HID;15;52;66;0;NAO_INICIADA
T180;Emissao | PCI | AP | R00 | ZONA-1;ATIVIDADE;EMISSAO;E045;PCI;AP;R00;ZONA-1;PROJ-PCI;10;52;61;0;NAO_INICIADA
T181;Emissao | CLI | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E046;CLI;AP;R01;ZONA-1;PROJ-CLI;15;52;66;0;NAO_INICIADA
T182;Emissao | VED | EP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E047;VED;EP;R01;ZONA-1;PROJ-VED;15;52;66;0;NAO_INICIADA
T183;Emissao | IMP | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E048;IMP;AP;R01;ZONA-1;PROJ-IMP;10;52;61;0;NAO_INICIADA
T184;Analise | ELE | AP | ZONA-1;ATIVIDADE;ANALISE;E040;ELE;AP;;ZONA-1;ANL-PRODUTO;10;68;77;0;NAO_INICIADA
T185;Analise | ELE | AP | ZONA-1 (2);ATIVIDADE;ANALISE;E040;ELE;AP;;ZONA-1;ANL-ENGENHARIA;10;68;77;0;NAO_INICIADA
T229;Emissao | EST | AP | R01 | ZONA-1 (2);ATIVIDADE;EMISSAO;E019;EST;AP;R01;ZONA-1;PROJ-EST;10;68;77;0;NAO_INICIADA
T238;Emissao | CXO | AP | R00 | ZONA-1;ATIVIDADE;EMISSAO;E071;CXO;AP;R00;ZONA-1;PROJ-CXO;30;78;107;0;NAO_INICIADA
T255;Emissao | ARQ | AP | ZONA-1 (3);ATIVIDADE;EMISSAO;E005;ARQ;AP;;ZONA-1;PROJ-ARQ;20;107;126;0;NAO_INICIADA
T259;Analise | ARQ | AP | R00 | ZONA-1;ATIVIDADE;ANALISE;E005;ARQ;AP;R00;ZONA-1;PROJ-ARQ;10;128;137;0;NAO_INICIADA
T268;Analise | ARQ | AP | ZONA-1 (7);ATIVIDADE;ANALISE;E079;ARQ;AP;;ZONA-1;ANL-PRODUTO;10;128;137;0;NAO_INICIADA
T269;Analise | ARQ | AP | ZONA-1 (8);ATIVIDADE;ANALISE;E079;ARQ;AP;;ZONA-1;ANL-ENGENHARIA;10;128;137;0;NAO_INICIADA
