predecessora;sucessora;tipo_vinculo;lag_dias
T054;T175;TI;0
T054;T177;TI;0
T054;T178;TI;0
T054;T179;TI;0
T054;T181;TI;0
T054;T176;TI;0
T054;T182;TI;0
T054;T183;TI;0
T054;T180;TI;0
T055;T175;TI;0
T055;T177;TI;0
T055;T178;TI;0
T055;T179;TI;0
T055;T181;TI;0
T055;T176;TI;0
T055;T182;TI;0
T055;T183;TI;0
T055;T180;TI;0
T078;T087;TI;0
T087;T175;TI;0
T087;T177;TI;0
T087;T178;TI;0
T087;T179;TI;0
T087;T181;TI;0
T087;T176;TI;0
T087;T182;TI;0
T087;T183;TI;0
T087;T180;TI;0
T078;T088;TI;0
T088;T175;TI;0
T088;T177;TI;0
T088;T178;TI;0
T088;T179;TI;0
T088;T181;TI;0
T088;T176;TI;0
T088;T182;TI;0
T088;T183;TI;0
T088;T180;TI;0
T078;T135;IT;10
T141;T238;TI;0
T135;T148;TI;0
T148;T157;TI;0
T135;T149;TI;0
T149;T157;TI;0
T157;T175;TI;0
T157;T177;TI;0
T157;T178;TI;0
T157;T179;TI;0
T157;T180;TI;0
T157;T181;TI;0
T157;T176;TI;0
T157;T182;TI;0
T157;T183;TI;0
T157;T184;TI;0
T157;T185;TI;0
T182;T255;TI;0
T183;T255;TI;0
T175;T255;TI;0
T176;T255;TI;0
T177;T255;TI;0
T178;T255;TI;0
T179;T255;TI;0
T180;T255;TI;0
T181;T255;TI;0
T175;T229;TI;0
T175;T184;TI;0
T175;T185;TI;0
T176;T229;TI;0
T176;T184;TI;0
T176;T185;TI;0
T177;T229;TI;0
T177;T184;TI;0
T177;T185;TI;0
T178;T229;TI;0
T178;T184;TI;0
T178;T185;TI;0
T179;T229;TI;0
T179;T184;TI;0
T179;T185;TI;0
T180;T229;TI;0
T180;T184;TI;0
T180;T185;TI;0
T181;T229;TI;0
T181;T184;TI;0
T181;T185;TI;0
T182;T229;TI;0
T182;T184;TI;0
T182;T185;TI;0
T183;T229;TI;0
T183;T184;TI;0
T183;T185;TI;0
T238;T255;TI;0
T229;T255;TI;0
T184;T255;TI;0
T185;T255;TI;0
T255;T268;TI;0
T255;T269;TI;0
T255;T259;TI;0
