id;nome;tipo;disciplina;fase;revisao;zona;papel;duracao_dias
A01;Emissao | ARQ | AP | R00 | lancamento;EMISSAO;ARQ;AP;R00;ZONA-1;PROJ-ARQ;10
A02;Emissao | EST | AP | R00 | lancamento;EMISSAO;EST;AP;R00;ZONA-1;PROJ-EST;8
A03;Emissao | HID | AP | R00;EMISSAO;HID;AP;R00;ZONA-1;PROJ-HID;7
A04;Emissao | CLI | AP | R00;EMISSAO;CLI;AP;R00;ZONA-1;PROJ-CLI;9
A05;Emissao | PCI | AP | R00;EMISSAO;PCI;AP;R00;ZONA-1;PROJ-PCI;6
A06;Emissao | PRE | AP | R00;EMISSAO;PRE;AP;R00;ZONA-1;PROJ-PCI;4
A07;Emissao | ELE | AP | R00;EMISSAO;ELE;AP;R00;ZONA-1;PROJ-ELE;8
A08;Emissao | EST | AP | R01 | furacoes;EMISSAO;EST;AP;R01;ZONA-1;PROJ-EST;4
A09;Emissao | ARQ | AP | R01 | revisao;EMISSAO;ARQ;AP;R01;ZONA-1;PROJ-ARQ;5
A10;Compatibilizacao | AP | ZONA-1;COMPATIBILIZACAO;CLASH;AP;;ZONA-1;ANL-COORD;3
A11;Analise | AP | ZONA-1;ANALISE;CLASH;AP;;ZONA-1;ANL-ENGENHARIA;10
A12;Gate de aprovacao | AP | ZONA-1;GATE;;AP;;ZONA-1;DEC-DIRETORIA;2
